decade,genre_group,avg_revenue_m,total_revenue_b,num_films
1970,Sci-Fi/Fantasy,65.74,2.43,37
1970,Horror/Mystery,58.72,2.58,44
1970,Action/Thriller,50.28,5.78,115
1970,Drama/Romance,40.9,5.93,145
1970,Other,36.81,4.09,111
1970,Comedy/Animation,35.63,3.21,90
1980,Action/Thriller,46.72,17.47,374
1980,Sci-Fi/Fantasy,44.0,7.13,162
1980,Comedy/Animation,39.21,14.35,366
1980,Drama/Romance,32.74,14.86,454
1980,Other,31.24,9.37,300
1980,Horror/Mystery,20.51,3.61,176
1990,Sci-Fi/Fantasy,90.16,17.94,199
1990,Action/Thriller,84.8,45.28,534
1990,Comedy/Animation,58.07,32.69,563
1990,Drama/Romance,56.16,47.23,841
1990,Horror/Mystery,53.55,10.18,190
1990,Other,51.91,25.02,482
2000,Sci-Fi/Fantasy,167.7,49.13,293
2000,Action/Thriller,127.36,115.77,909
2000,Comedy/Animation,82.05,68.68,837
2000,Horror/Mystery,64.79,22.68,350
2000,Drama/Romance,64.4,84.68,1315
2000,Other,51.26,38.08,743
2010,Sci-Fi/Fantasy,220.44,64.81,294
2010,Action/Thriller,155.4,156.18,1005
2010,Comedy/Animation,93.49,78.53,840
2010,Drama/Romance,54.81,75.52,1378
2010,Other,47.1,34.85,740
2010,Horror/Mystery,46.41,15.45,333
