decade,genre_name,decade_revenue_b,cumulative_revenue_b
1910,Action,0.01,0.01
1920,Action,0.01,0.02
1930,Action,0.01,0.02
1940,Action,0.01,0.03
1950,Action,0.01,0.04
1960,Action,1.09,1.13
1970,Action,3.69,4.81
1980,Action,9.34,14.15
1990,Action,28.6,42.75
2000,Action,63.85,106.61
2010,Action,100.32,206.92
1910,Adventure,0.01,0.01
1920,Adventure,0.01,0.02
1930,Adventure,0.24,0.26
1940,Adventure,0.37,0.64
1950,Adventure,1.23,1.86
1960,Adventure,1.85,3.72
1970,Adventure,3.89,7.61
1980,Adventure,11.53,19.14
1990,Adventure,25.8,44.94
2000,Adventure,77.14,122.08
2010,Adventure,111.17,233.26
1930,Animation,0.18,0.18
1940,Animation,0.44,0.62
1950,Animation,1.07,1.69
1960,Animation,0.44,2.13
1970,Animation,0.22,2.35
1980,Animation,1.02,3.38
1990,Animation,6.25,9.63
2000,Animation,22.33,31.96
2010,Animation,35.96,67.92
1910,Comedy,0.01,0.01
1920,Comedy,0.01,0.01
1930,Comedy,0.05,0.06
1940,Comedy,0.13,0.19
1950,Comedy,0.8,0.99
1960,Comedy,1.36,2.35
1970,Comedy,3.16,5.51
1980,Comedy,13.85,19.36
1990,Comedy,29.69,49.05
2000,Comedy,63.16,112.2
2010,Comedy,67.32,179.53
1910,Drama,0.02,0.02
1920,Drama,0.05,0.07
1930,Drama,0.49,0.56
1940,Drama,0.6,1.15
1950,Drama,0.93,2.09
1960,Drama,2.13,4.21
1970,Drama,5.4,9.61
1980,Drama,11.16,20.78
1990,Drama,38.87,59.65
2000,Drama,57.2,116.85
2010,Drama,57.51,174.36
1920,Horror,0.0,0.0
1930,Horror,0.02,0.02
1940,Horror,0.01,0.03
1950,Horror,0.04,0.07
1960,Horror,0.12,0.19
1970,Horror,2.05,2.23
1980,Horror,2.62,4.85
1990,Horror,4.63,9.49
2000,Horror,10.35,19.84
2010,Horror,9.9,29.74
1910,Sci-Fi,0.01,0.01
1920,Sci-Fi,0.0,0.01
1930,Sci-Fi,0.01,0.02
1950,Sci-Fi,0.02,0.04
1960,Sci-Fi,0.11,0.15
1970,Sci-Fi,1.51,1.66
1980,Sci-Fi,3.94,5.6
1990,Sci-Fi,9.6,15.21
2000,Sci-Fi,20.51,35.72
2010,Sci-Fi,37.53,73.25
