decade,rank_in_decade,film_title,avg_rating,num_votes
1950,1,12 Angry Men,9.0,988815
1950,2,Seven Samurai,8.6,402843
1950,3,The Counterfeit Coin,8.6,3481
1950,4,The Human Condition I: No Greater Love,8.5,11379
1950,5,The Human Condition II: Road to Eternity,8.5,9121
1960,1,"The Good, the Bad and the Ugly",8.8,892820
1960,2,The Human Condition III: A Soldier's Prayer,8.8,8886
1960,3,World Gone Mad,8.8,2734
1960,4,Harakiri,8.6,92085
1960,5,Psycho,8.5,787871
1970,1,The Godfather,9.2,2233673
1970,2,The Godfather Part II,9.0,1499081
1970,3,Tosun Pasha,8.9,26476
1970,4,The Message,8.9,12019
1970,5,The Chaos Class Is Waking Up,8.7,22481
1980,1,The Marathon Family,8.8,18205
1980,2,The Moromete Family,8.8,4587
1980,3,The Kingdom of Diamonds,8.8,3429
1980,4,Star Wars: Episode V - The Empire Strikes Back,8.7,1509943
1980,5,Stop Making Sense,8.7,24254
1990,1,The Shawshank Redemption,9.3,3201721
1990,2,Schindler's List,9.0,1589526
1990,3,Sandesham,9.0,6465
1990,4,Fight Club,8.8,2622787
1990,5,Forrest Gump,8.8,2505967
2000,1,The Dark Knight,9.1,3182517
2000,2,The Lord of the Rings: The Return of the King,9.0,2171834
2000,3,The Lord of the Rings: The Fellowship of the Ring,8.9,2214091
2000,4,The Lord of the Rings: The Two Towers,8.8,1963840
2000,5,Before Flying Back to Earth,8.7,1187
2010,1,O.J.: Made in America,8.9,23991
2010,2,Inception,8.8,2829075
2010,3,The Phantom of the Opera at the Royal Albert Hall,8.8,10868
2010,4,Natsamrat,8.8,8129
2010,5,Interstellar,8.7,2549743
2020,1,Avatar: The Way of Water,7.5,634374
2020,2,Bad Boys for Life,6.5,197832
2020,3,The King's Daughter,5.2,7264
2020,4,The Prey: Legend of Karnoctus,3.6,1074
